MEETING_KEY,SESSION_KEY,DRIVER_NUMBER,I1_SPEED,I2_SPEED,ST_SPEED,DATE_START_LAP,LAP_DURATION,DURATION_SECTOR_1,DURATION_SECTOR_2,DURATION_SECTOR_3,LAP_NUMBER,AIR_TEMPERATURE,HUMIDITY,PRESSURE,RAINFALL,TRACK_TEMPERATURE,WIND_DIRECTION,WIND_SPEED,LOCATION,COUNTRY_NAME,CIRCUIT_SHORT_NAME,SESSION_TYPE,SESSION_NAME,DATE_START_SESSION,DATE_END_SESSION,GMT_OFFSET,YEAR,CIRCUIT,TYPE,DIRECTION,TURNS,LENGTH_KM
1141,7768,16,241,272,323,2023-03-04T15:39:00Z,91.699,29.301,39.434,22.964,10,23.8,20,1017.7,0,27.9,123,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,63,241,271,318,2023-03-04T15:25:00Z,91.718,29.295,39.432,22.991,5,24.1,16,1017.5,0,28.6,77,0.5,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,22,240,270,315,2023-03-04T15:15:00Z,91.747,29.361,39.391,22.995,5,24.3,16,1017.5,0,28.7,344,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,10,241,270,322,2023-03-04T15:24:00Z,91.818,29.247,39.412,23.159,5,24.2,15,1017.7,0,28.6,94,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,20,240,271,317,2023-03-04T15:24:00Z,91.892,29.428,39.369,23.095,5,24.2,15,1017.7,0,28.6,94,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,18,240,267,318,2023-03-04T16:00:00Z,91.926,29.329,39.681,22.916,14,23.2,30,1017.7,0,27,322,0.8,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,27,241,270,316,2023-03-04T15:38:00Z,91.932,29.43,39.521,22.981,10,23.9,19,1017.7,0,27.9,323,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,24,239,269,316,2023-03-04T15:14:00Z,91.947,29.442,39.459,23.046,2,24.3,16,1017.5,0,28.7,319,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,77,240,268,316,2023-03-04T15:14:00Z,91.952,29.286,39.606,23.06,2,24.3,16,1017.5,0,28.7,319,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,20,240,270,316,2023-03-04T15:14:00Z,92.07,29.414,39.561,23.095,2,24.3,16,1017.5,0,28.7,319,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,23,240,274,323,2023-03-04T15:14:00Z,92.094,29.384,39.714,22.996,2,24.3,16,1017.5,0,28.7,319,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,81,241,268,316,2023-03-04T15:25:00Z,92.101,29.561,39.454,23.086,6,24.1,16,1017.5,0,28.6,77,0.5,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,21,240,270,315,2023-03-04T15:15:00Z,92.121,29.382,39.634,23.105,5,24.3,16,1017.5,0,28.7,344,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
